2016-10-31 10:48:17,717 [Thread-9] ERROR org.eclipse.jgit.util.FS - xcode-select: note: no developer tools were found at '/Applications/Xcode.app', requesting install. Choose an option in the dialog to download the command line developer tools.

2016-10-31 10:48:17,766 [Thread-10] ERROR org.eclipse.jgit.util.FS - xcode-select: note: no developer tools were found at '/Applications/Xcode.app', requesting install. Choose an option in the dialog to download the command line developer tools.

2016-10-31 11:03:23,601 [Thread-9] ERROR org.eclipse.jgit.util.FS - xcode-select: note: no developer tools were found at '/Applications/Xcode.app', requesting install. Choose an option in the dialog to download the command line developer tools.

2016-10-31 11:03:23,691 [Thread-10] ERROR org.eclipse.jgit.util.FS - xcode-select: note: no developer tools were found at '/Applications/Xcode.app', requesting install. Choose an option in the dialog to download the command line developer tools.

2016-10-31 11:06:00,711 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: JistJPA:JistJPA:0.0.1-SNAPSHOT @ /Users/anniefisher/SD/Java/JobSearch/JistJPA/pom.xml.
2016-10-31 11:06:00,712 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: JistJPA:JistJPA:0.0.1-SNAPSHOT @ /Users/anniefisher/SD/Java/JobSearch/JistJPA/pom.xml.
2016-10-31 11:06:02,995 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-31 11:06:03,036 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-10-31 11:06:03,096 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-31 11:06:03,098 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/anniefisher/SD/Java/JobSearch/JistJPA/src/test/resources
2016-10-31 11:06:05,068 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: JistJPA:JistJPA:0.0.1-SNAPSHOT @ /Users/anniefisher/SD/Java/JobSearch/JistJPA/pom.xml.
2016-10-31 11:06:05,566 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-31 11:06:05,580 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-10-31 11:06:05,607 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-31 11:06:05,608 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/anniefisher/SD/Java/JobSearch/JistJPA/src/test/resources
2016-10-31 11:06:07,051 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-31 11:06:07,053 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-10-31 11:06:07,056 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-31 11:06:07,058 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/anniefisher/SD/Java/JobSearch/JistJPA/src/test/resources
2016-10-31 11:06:07,476 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: JistMVC:JistMVC:0.0.1-SNAPSHOT @ /Users/anniefisher/SD/Java/JobSearch/JistMVC/pom.xml.
2016-10-31 11:06:12,455 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
